ISO_Code,pca_0,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7,pca_8,pca_9,S_SOV,S_SVO,S_VSO,S_ADPOSITION_BEFORE_NOUN,S_ADPOSITION_AFTER_NOUN,S_CASE_SUFFIX,S_ADJECTIVE_BEFORE_NOUN
kor,2.9281751622569097,-1.2008067900868638,-3.468835007313626,-2.061342701557959,-6.965224324195911,3.8908091846339548,-1.9511309981022174,0.6596203628586795,0.18949035379731397,-0.54104397959632,1.0,0.0,0.0,0.0,1.0,1.0,1.0
lav,-1.9515994792227263,-8.497753507798652,23.64754482508143,20.444178424067875,4.401855800839346,11.849537948273337,7.2419673295658376,-2.65975369473184,5.148754424545344,-4.110327873744056,0.0,1.0,0.0,1.0,0.0,1.0,1.0
lit,0.05252565774814407,-7.834028129644231,13.598908457626804,4.1602894683893,3.318572581115001,-19.75704112827313,-10.515426663048995,18.839506422311565,-3.3297347793325764,1.0573023348201065,0.0,1.0,0.0,1.0,0.0,1.0,1.0
nld,0.6535836624722792,-2.5249218548828964,-3.971181933912942,-0.19175613472473635,-1.6716810006584453,-0.745171734796891,6.6989833669630965,0.9195186903719593,-2.193502957635161,-3.7455918690849273,1.0,1.0,0.0,1.0,0.0,0.0,1.0
nob,2.911642482659779,-1.5491995312561375,0.5787265437723936,-2.3364576205473155,0.07816222550889189,2.723836876696766,5.047349760338634,0.9438670496986893,-3.1750660933145416,1.527084532777876,0.0,1.0,0.0,1.0,0.0,1.0,1.0
pol,0.26504730782769903,-2.764136239435045,-3.754816306456528,1.252630780557301,3.431858334449747,-3.430067853708438,2.6482106280295423,-3.492707739101193,-1.5707862901201513,9.639844391418476,0.0,1.0,0.0,1.0,0.0,1.0,1.0
por,3.0196986689021617,-3.0663151351530296,-0.8311502160801054,1.1508154099455412,-3.5605537422896547,-2.6373389509901153,0.9777010068160767,-0.44490241296189104,4.2263045999000655,0.7287689768024083,0.0,1.0,0.0,1.0,0.0,0.0,0.0
ron,-3.8429376491489626,2.0208528886854786,-10.999184620133214,10.351176453656528,21.361904771386687,7.1291027092416375,-10.407954015791418,0.3511413112945767,-3.2026152315018974,6.658691877877498,0.0,1.0,0.0,1.0,0.0,1.0,0.0
rus,1.5935684152100238,-2.934505824654082,-2.4072527612501045,0.9891034765194263,-3.624339346475762,-0.2435200570698098,1.9853737887912262,1.1602227660844142,0.30927254681697425,1.690064813731359,0.0,1.0,0.0,1.0,0.0,1.0,1.0
slv,2.2181033202277525,-5.665958928071823,4.887263248220773,0.2444496986121211,0.48176646742520857,-10.923773124442155,-3.7438067390236087,-21.01239103995254,-15.929899737835282,-4.021766865046172,0.0,1.0,0.0,1.0,0.0,1.0,1.0
spa,2.0256314879132455,0.9228888137315464,-1.9003118910134784,-0.12742202807857314,-0.7561013478610503,-1.91195098227703,5.28318053879463,-0.5750757422632482,-1.078480649694497,-1.156333250335649,0.0,1.0,0.0,1.0,0.0,0.0,0.0
swe,0.6106062736050322,-1.839487261717636,-3.1942778206229674,0.3298151207807482,1.1276312703750098,0.06988072257026104,5.242982356680534,1.7263990851678186,-1.612790700543198,5.106568984802489,0.0,1.0,0.0,1.0,0.0,0.0,1.0
tam,1.380325785917722,-2.673480152988886,3.9732091452974667,-1.128510654141801,-11.759713917430638,9.059682499220953,-21.99992469472339,-3.7728203163878993,-1.8979848273380677,-0.2786102590320609,1.0,0.0,0.0,0.0,1.0,1.0,1.0
tur,-24.93469002887618,13.32651266599333,7.62867425787134,-4.236476245342882,-6.564960671785673,7.322442457106562,-1.201256391596837,0.40829574692048165,0.07447718485685464,9.767141018833634,1.0,0.0,0.0,0.0,1.0,1.0,1.0
ukr,-1.2308092627039426,-4.353037033618834,-2.0963352700950573,-4.222400876344709,3.0588481100982583,-1.4030976660893535,3.0119812977807126,0.9902445009549353,0.786597141014122,4.168915242705816,0.0,1.0,0.0,1.0,0.0,1.0,1.0
