transliteration,translation
{DIŠ}u₂,
{DIŠ}ku-raš,
{DIŠ}EŠŠANA,
{DIŠ}ha-ak-ka₄-man-nu-ši-ia,
{DIŠ}ku-raš,
{DIŠ}EŠŠANA,
ir-ša-ir-ra,
{DIŠ}ha-ak-ka₄-man-nu-ši-ia-ra,
{DIŠ}u,
{DIŠ}da-ri-ia-ma-u-iš,
{DIŠ}EŠŠANA,
{DIŠ}mi-iš-ta-aš-pa,
{DIŠ}ša-ak-ri,
{DIŠ}ak-ka₄-man-nu-iš-ši,
ia-ra,
{DIŠ}EŠŠANA,
{DIŠ}EŠŠANA-na,
{DIŠ}u,
la-an,
{DIŠ}EŠŠANA,
{DIŠ}par-sip,
ik-ki,
a-ak,
{DIŠ}da-ri-ia-ma-u,
iš,
{DIŠ}EŠŠANA,
na-an-ri,
{DIŠ}u,
{DIŠ}at-ta-ta,
{DIŠ}mi-iš-ta-aš-pa,
a-ak,
{DIŠ}mi-iš-ta-aš,
pa,
{DIŠ}at-te-ri,
{DIŠ}ir-ša-um-ma,
a-ak,
{DIŠ}ir-ša-um-ma,
{DIŠ}at-te-ri,
{DIŠ}har-ri-ia-ra-um-na,
a,
ak,
{DIŠ}har-ri-ia-ra-um-na,
{DIŠ}at-te-ri,
{DIŠ}si-iš-pi-iš,
a-ak,
{DIŠ}si-iš-pi-iš,
{DIŠ}at-te-ri,
{DIŠ}ha-ak-ka₄-man-nu-iš,
a-ak,
{DIŠ}da-ri-ia-ma-u-iš,
{DIŠ}EŠŠANA,
na-an-ri,
hu-uh-pe₃-in-tuk-ki-me,
{DIŠ}nu,
ku,
{DIŠ}NUMUN.MEŠ,
{DIŠ}ha-ak-ka₄-man-nu-iš-ši-ia,
ti-ri-ma-nu-un,
ša-aš-ša-ta,
ka₄-ra-ta-la-ri,
{DIŠ}ša-lu-u-ut,
a-ak,
ša-aš-ša-ta,
ka₄-ra-ta-la-ri,
{DIŠ}NUMUN.MEŠ,
{DIŠ}nu-ka₄-mi,
{DIŠ}EŠŠANA-ip,
a-ak,
{DIŠ}da-ri-ia-ma-u-iš,
{DIŠ}EŠŠANA,
na-an-ri,
8,
{DIŠ}EŠŠANA-ip,
{DIŠ}NUMUN.MEŠ,
{DIŠ}u-ni-na,
ap-pu-ka₄,
{DIŠ}EŠŠANA-me,
mar-ri-iš,
{DIŠ}u,
9-um-me-ma,
{DIŠ}EŠŠANA-me,
hu-ut-ta,
ša-ma-ak-mar,
{DIŠ}nu-ku,
{DIŠ}EŠŠANA-ip-u-ut,
hi,
{DIŠ}kam-ma-at-ta,
{DIŠ}ma-ku-iš,
ti-tuk-ka₄,
na-an-ri,
{DIŠ}u,
bir-ti-ia,
DUMU,
ku-raš-na,
{DIŠ}u,
{DIŠ}EŠŠANA-me,
hu-ut-ta,
ma-ra,
{DIŠ}da-ri-ia-ma-u-iš,
{DIŠ}EŠŠANA,
ir-ša-ir-ra,
{DIŠ}mi-is-ta-aš-pa,
{DIŠ}ša-ak-ri,
{DIŠ}ha-ka₄-man-nu-ši-ia,
na-an-ri,
hi,
AŠ,
ul-hi,
MEŠ,
{DIŠ}ku-raš,
{DIŠ}EŠŠANA,
ku-ši-iš,
a-ak,
sa-ul-man-nu-e,
ku-ši-iš,
a-ak,
AŠ,
tup-pi,
in-ni,
tal-li-iš,
{DIŠ}u,
ku-ši-ik-e,
uk-ku,
AŠ,
tup-pi-mi,
tal-li,
