ISO_Code,pca_0,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7,pca_8,pca_9,pca_10,pca_11,pca_12,pca_13,pca_14,pca_15,pca_16,pca_17,pca_18,pca_19,S_SOV,S_SVO,S_VSO,S_ADPOSITION_BEFORE_NOUN,S_ADPOSITION_AFTER_NOUN,S_CASE_SUFFIX,S_ADJECTIVE_BEFORE_NOUN
bul,3.163265608482795,-4.205690110426721,1.0575755617077551,3.4451678694016556,-2.439516074249754,3.6352891625864583,3.405982371990254,-1.8472415778630886,-4.539237477108106,-0.12562659588609557,6.521214424533282,0.5872456765447,-3.6009133059701837,-0.9491772689274892,0.6929246576785324,-3.6423349816027963,1.5653385996201494,-1.6450673393871416,0.5141093181581403,6.425346357908849,0.0,1.0,0.0,1.0,0.0,0.0,1.0
ces,0.07108826776726228,-7.827187276403992,-2.0529737786273823,-0.9923767857556928,-1.0383095322009495,-8.891004612685242,-5.715383617342409,-10.674855763955193,23.25983285974813,3.870468659151686,-2.708773177017357,-3.4364413241143765,-3.6835157012531634,2.895132814169359,-1.484753035054696,3.4211418951051837,-3.545841291091031,0.7861658615257789,1.691671814035815,2.069853141009042,0.0,1.0,0.0,1.0,0.0,1.0,1.0
cmn,1.8052164845542906,-4.052617954853489,-4.387530050521342,-0.7554545738527514,-5.07798160178551,2.076889784318152,-3.2084110824597847,2.7399749394013853,-0.7295140613371126,0.2969810713470351,-10.734780485681126,3.023201231131732,4.927636960207742,9.26031144337433,2.730985819025551,-5.784005004280959,8.029964686888139,-4.1969973926083535,2.778349122924486,-0.04240185529581173,0.0,1.0,0.0,1.0,1.0,0.0,1.0
dan,3.437413982861504,-1.808198033530479,-1.9614297966427134,-0.6826993366644165,-2.0014138692906687,-0.5759571953702347,7.770784259003761,2.8157278964610093,-1.6740725496140079,0.6004268528311436,-3.345631954835616,1.0595967074085064,-4.928775015718468,5.844678216377637,2.793654004008268,4.699473501298023,3.0522520655614596,1.5271522055424265,-5.6083145774651255,5.864352639820232,0.0,1.0,0.0,1.0,0.0,1.0,1.0
deu,3.183554793788724,-2.6194072087633193,-0.8267977417230271,-2.224415980324402,-2.6111056138519557,-0.15333949342431274,3.862714671123435,1.4550182487794596,-0.554470356211365,2.5116729173694963,-3.416628861701173,1.1541359509320115,-0.4516709028201564,-0.6328947262614707,2.9190263826253364,4.579721251675091,3.1556656563789933,0.3468497098104863,5.271517092649912,-8.117260304579352,1.0,1.0,0.0,1.0,0.0,1.0,1.0
eng,-30.799903656833223,15.215242017391096,1.6267851747235333,-1.1107013978442617,0.01028512563248284,-8.120661422859913,1.9537602983630877,-1.7304817099344385,-0.04644182941862096,-7.660628292846369,0.5072081975553349,4.751920699210017,-10.893845446939302,2.95717653081082,4.409683561375265,-6.344172984551478,-0.9980369815613694,-0.03653486107361037,1.8629507379348689,-1.8471673892155631,0.0,1.0,0.0,1.0,0.0,0.0,1.0
est,4.771152968173484,-2.8704350563770444,12.37723421741574,-26.161819328869903,16.02666054313377,7.848046336338056,-1.2129507609681802,0.774159684286449,2.667992800401235,-6.899592729562913,1.0650906566867289,0.15177694984136947,0.4541510897433994,1.4851306856088775,-1.7757604476267812,-2.5553489227384376,0.5695471787133755,0.38369748688156985,1.867556333199535,-0.23763573429402354,0.0,1.0,0.0,0.0,1.0,1.0,1.0
eus,24.988903720782783,35.690313499734195,6.322030534425584,4.166135999636628,0.5457422593494481,-3.0452122047257597,-1.555165345783693,-1.2154893343183486,2.368152213490959,0.2541079263301109,-1.7271643895836593,-2.083206640069509,-0.9088883406041207,0.5199292683704676,-0.4052278210923001,-0.4011858321967702,0.9214157404437563,0.46625801017123103,1.2292966811433756,0.24804189378794236,1.0,0.0,0.0,0.0,1.0,0.0,0.0
fas,-0.3921951227227881,-0.9283218022070752,-4.891153120492178,-0.17022140367071514,0.07978817208625542,3.9802356629239326,1.3881355328534808,1.371440709153699,-1.745671595612898,1.9209175136946888,2.1917397670405863,-5.672636262593168,-0.19072971300869201,-0.25755730238661567,-0.8764320168221705,-0.3807329003349577,-4.742973565485369,9.190872535451092,-1.9681697448709026,-13.96610787263509,1.0,0.0,0.0,1.0,0.0,0.0,0.0
fin,0.27756192984414163,0.5807953277147019,-1.2449583631351755,-3.9713454324543864,2.980997428472863,2.004688886461995,0.032255333970463644,1.5951723970007348,-3.3011277308347466,0.7365140644290946,-7.1874491521413555,-0.6527906476172206,-3.579688733204104,-6.758666720051194,-1.541313590960706,3.3633522020103457,-10.439872127359287,-9.32854835951589,-8.231634138312147,2.1628980332772887,0.0,1.0,0.0,0.0,1.0,1.0,1.0
fra,-3.71683752177632,3.11329448247216,-13.681772526599717,6.1593608730823854,11.403791698117033,-0.46794469380339515,-2.6950366259192133,0.22232284012463585,2.979763459824488,-7.493825867821049,-8.565594965606548,11.25156348703315,5.6152742396545285,-8.676759489328507,-5.9998423027998795,0.7334033874121919,2.5932128528251015,4.818465421229949,-4.310740610227581,0.33279190466606845,0.0,1.0,0.0,1.0,0.0,0.0,0.0
heb,3.5682578986929325,-1.200901261585713,-1.6829691000148272,-2.2175368162650435,-3.8584720230052536,1.5980114167631072,-1.4086059848143089,0.6981499681820421,0.9796744963141071,1.0718963202208127,2.157352284835939,-0.04572970945763024,1.1437256028860463,-0.5596228154569342,3.9698087162754687,-2.0705252396294966,-3.242256422183904,4.8437786200681785,-0.13412000119444217,-0.8189273461196503,0.0,1.0,0.0,1.0,0.0,0.0,0.0
hin,-0.13718903522660136,-0.856659883295304,-9.072260464605042,3.790781295172576,-6.4903891866675085,3.2451204007709746,-2.546396965383792,5.211019866410813,2.1935922740427105,-18.52378960675733,4.073096653781675,-16.217637126264336,1.0449276120648525,2.161984155917568,-1.4458939137106686,1.8025260113450392,0.40328212966666466,-2.7113405668319572,-2.3100879939537657,0.9618361927785924,1.0,0.0,0.0,0.0,1.0,1.0,1.0
hun,3.2344852953167993,-0.13655402657829008,0.411666588579211,-1.6734663755625505,-3.4203446182571886,-0.14826665560985133,2.285804734405702,2.4857627333914905,-0.16887058731468413,2.911876836856273,0.22020967736228783,4.84031611656204,-0.3968934005564374,3.289872214947251,2.8874945853240006,1.6046736003922615,-4.786922491526472,-11.75969160264196,-3.32604569861617,-6.948101072887628,1.0,1.0,0.0,0.0,1.0,1.0,1.0
ind,1.0999374019256516,0.1596852472568655,-3.3930951472908983,0.01126377533560909,-7.293027895644883,4.457965286415424,1.7747458581729345,4.7833336849462595,-1.9130341856582391,1.9505027568151176,-0.42688608917168613,3.089626950480644,3.6688604453072133,0.27446179164065254,-1.9053179019939124,-6.445931168875288,-14.418562948922185,4.893122453536345,8.14225006479191,7.090417508391355,0.0,1.0,0.0,1.0,0.0,0.0,0.0
ita,-0.26351662658024133,0.396600994143124,-0.18308583440277396,-1.8707698751849255,0.9495502070573463,-7.843355769010179,7.952606472538624,-2.9834430946337225,3.3353829529169468,-1.5055513681509936,7.136331145483927,1.413655427730783,12.113702800922082,-7.201647259909898,15.456802846936275,1.3704665472950588,-0.10017476480007775,-0.5662208914362793,-1.781497397113221,1.2953534994320945,0.0,1.0,0.0,1.0,0.0,0.0,0.0
kor,2.927277212801816,-1.1905429707149617,-3.4355241348189676,-2.006272441152036,-7.003156048893941,4.040655638816682,-1.9310860063306277,0.6503204910295369,0.18791304816621393,-0.4022387743736615,-7.830505290676951,1.1545218476191375,1.2061158801422676,1.2174891553173994,0.2993519261372878,-6.299584489518134,1.7339938139593178,0.644479311621781,-1.8882092609083354,-0.3393646279403266,1.0,0.0,0.0,0.0,1.0,1.0,1.0
lav,-1.9528956789006173,-8.495182656920015,23.676457666498205,20.488765563081888,4.405927954694873,11.858070407404423,7.20883667113471,-2.6428474286298553,5.132250252132906,-4.037655788351509,-3.5070116606428257,0.42538058936420564,0.2663250337799143,-0.9483764879116708,0.500052865499017,-1.6924906427693631,-0.34967898479121234,0.05856290190782962,-0.14647433776988159,-1.312095428669678,0.0,1.0,0.0,1.0,0.0,1.0,1.0
lit,0.05344125767070117,-7.834430495020302,13.582335978076225,4.078232462630764,3.2814183685447866,-19.857734839434627,-10.510680198229268,18.825907768443074,-3.3403754431640142,1.0736822791154121,-0.4504610068033566,-1.555958272790071,1.051230229339146,-0.8318278859442142,-1.756700373826156,0.9558017587470661,-0.21319928663227228,1.7640706112632425,0.3076516940546907,0.38077383599341214,0.0,1.0,0.0,1.0,0.0,1.0,1.0
